# timestamp tx ty tz qx qy qz qw
1.716292610313838959e+09 -3.929233074188231978e+00 -3.895935058593750000e+00 6.856948733329772949e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610363620520e+09 -3.929213285446166992e+00 -3.895938396453857422e+00 6.856136918067932129e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610414860010e+09 -3.929935932159423828e+00 -3.896611690521239790e+00 6.854530572891235352e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610463992596e+09 -3.929738283157348633e+00 -3.896829128265380859e+00 6.855419874191284180e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610514267683e+09 -3.929620027542113814e+00 -3.895552873611450195e+00 6.857341527938842773e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610564418077e+09 -3.930228233337401456e+00 -3.896347999572753906e+00 6.856048703193664551e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610664697886e+09 -3.929939031600952148e+00 -3.896582841873168945e+00 6.853260397911071777e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610716633558e+09 -3.929223775863647905e+00 -3.895923137664794922e+00 6.855900287628173828e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610765129805e+09 -3.929314374923706055e+00 -3.895849466323852983e+00 6.856765151023864746e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610815407276e+09 -3.929459095001220703e+00 -3.895701169967651367e+00 6.856664419174194336e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610865725994e+09 -3.930125951766968218e+00 -3.896414279937744141e+00 6.854242086410522461e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610915748596e+09 -3.930037021636962891e+00 -3.896497488021850586e+00 6.853922605514526367e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292610965894699e+09 -3.929515838623046875e+00 -3.895659685134888139e+00 6.857428550720214844e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611066101551e+09 -3.929453372955321822e+00 -3.895732402801513672e+00 6.857901811599731445e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611116219044e+09 -3.929165840148925781e+00 -3.895992040634155273e+00 6.856406927108764648e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611166480303e+09 -3.928437232971191850e+00 -3.896611452102661133e+00 6.850767731666564941e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611216515303e+09 -3.926909685134888139e+00 -3.898098945617675781e+00 6.848221421241760254e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611266721964e+09 -3.926827192306518999e+00 -3.898188829421997070e+00 6.848550438880920410e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611316859484e+09 -3.926801919937133789e+00 -3.898204326629639116e+00 6.848061680793762207e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611417136669e+09 -3.926436185836791992e+00 -3.898536205291748047e+00 6.846275329589843750e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611467278004e+09 -3.926260471343994141e+00 -3.898704767227172852e+00 6.845862865447998047e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611567778349e+09 -3.926274538040161133e+00 -3.898692131042480913e+00 6.845926642417907715e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292611618087530e+09 -3.926367044448852983e+00 -3.898581266403198242e+00 6.845064163208007812e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
